loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies
6500,6500,6500, 60 months,14.65%,153.45,C,C3,5 years,OWN,72000,Not Verified,Dec-11,Fully Paid,debt_consolidation,853xx,AZ,16.12,0,Jan-98,2,NA,14,0,4032,20.60%,23,0
12000,12000,12000, 36 months,12.69%,402.54,B,B5,10+ years,OWN,75000,Source Verified,Dec-11,Fully Paid,debt_consolidation,913xx,CA,10.78,0,Oct-89,0,NA,12,0,23336,67.10%,34,0
9000,9000,9000, 36 months,13.49%,305.38,C,C1,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,debt_consolidation,245xx,VA,10.08,0,Apr-04,1,NA,4,0,10452,91.70%,9,0
3000,3000,3000, 36 months,9.91%,96.68,B,B1,3 years,RENT,15000,Source Verified,Dec-11,Fully Paid,credit_card,606xx,IL,12.56,0,Jul-03,2,NA,11,0,7323,43.10%,11,0
10000,10000,10000, 36 months,10.65%,325.74,B,B2,3 years,RENT,1e+05,Source Verified,Dec-11,Charged Off,other,951xx,CA,7.06,0,May-91,2,NA,14,0,11997,55.50%,29,0
1000,1000,1000, 36 months,16.29%,35.31,D,D1,< 1 year,RENT,28000,Not Verified,Dec-11,Fully Paid,debt_consolidation,641xx,MO,20.31,0,Sep-07,1,NA,11,0,6524,81.50%,23,0
10000,10000,10000, 36 months,15.27%,347.98,C,C4,4 years,RENT,42000,Not Verified,Dec-11,Fully Paid,home_improvement,921xx,CA,18.6,0,Oct-98,2,61,14,0,24043,70.20%,28,0
3600,3600,3600, 36 months,6.03%,109.57,A,A1,10+ years,MORTGAGE,110000,Not Verified,Dec-11,Fully Paid,major_purchase,067xx,CT,10.52,0,Aug-93,0,NA,20,0,22836,16%,42,0
6000,6000,6000, 36 months,11.71%,198.46,B,B3,1 year,MORTGAGE,84000,Verified,Dec-11,Fully Paid,medical,890xx,UT,18.44,2,Oct-03,0,8,4,0,0,37.73%,14,0
9200,9200,9200, 36 months,6.03%,280.01,A,A1,6 years,RENT,77385.19,Not Verified,Dec-11,Fully Paid,debt_consolidation,921xx,CA,9.86,0,Jan-01,0,NA,8,0,7314,23.10%,28,0
20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4,3 years,RENT,43370,Verified,Dec-11,Fully Paid,debt_consolidation,770xx,TX,26.53,0,Nov-97,3,NA,8,0,17813,85.60%,22,0
21000,21000,21000, 36 months,12.42%,701.73,B,B4,10+ years,RENT,105000,Verified,Dec-11,Charged Off,debt_consolidation,335xx,FL,13.22,0,Feb-83,0,NA,7,0,32135,90.30%,38,0
10000,10000,10000, 36 months,11.71%,330.76,B,B3,10+ years,OWN,50000,Source Verified,Dec-11,Fully Paid,credit_card,799xx,TX,11.18,0,Jul-85,0,NA,8,0,10056,82.40%,21,0
10000,10000,10000, 36 months,11.71%,330.76,B,B3,5 years,RENT,50000,Not Verified,Dec-11,Fully Paid,debt_consolidation,917xx,CA,16.01,0,Apr-03,0,NA,6,0,17800,91.80%,17,0
6000,6000,6000, 36 months,11.71%,198.46,B,B3,1 year,RENT,76000,Not Verified,Dec-11,Charged Off,major_purchase,900xx,CA,2.4,0,Jun-01,1,NA,7,0,5963,29.70%,7,0
15000,15000,15000, 36 months,9.91%,483.38,B,B1,2 years,MORTGAGE,92000,Verified,Dec-11,Fully Paid,credit_card,605xx,IL,29.44,0,Feb-02,0,NA,8,0,13707,93.90%,31,0
15000,15000,8725, 36 months,14.27%,514.64,C,C2,9 years,RENT,60000,Not Verified,Dec-11,Charged Off,debt_consolidation,103xx,NY,15.22,0,Oct-03,1,NA,7,0,5872,57.60%,11,0
5000,5000,5000, 60 months,16.77%,123.65,D,D2,2 years,RENT,50004,Not Verified,Dec-11,Charged Off,other,150xx,PA,13.97,3,Oct-03,0,20,14,0,4345,59.50%,22,0
4000,4000,4000, 36 months,11.71%,132.31,B,B3,10+ years,MORTGAGE,106000,Not Verified,Dec-11,Fully Paid,debt_consolidation,326xx,FL,5.63,1,Aug-84,0,18,12,0,6110,37.70%,44,0
8500,8500,8500, 36 months,11.71%,281.15,B,B3,< 1 year,RENT,25000,Source Verified,Dec-11,Fully Paid,credit_card,564xx,MN,12.19,0,Nov-06,0,NA,8,0,6441,59.10%,12,0
4375,4375,4375, 36 months,7.51%,136.11,A,A3,7 years,MORTGAGE,17108,Source Verified,Dec-11,Fully Paid,debt_consolidation,141xx,NY,20.34,0,Dec-87,0,NA,6,0,11210,86.90%,12,0
31825,31825,31825, 36 months,7.90%,995.82,A,A4,5 years,MORTGAGE,75000,Verified,Dec-11,Fully Paid,debt_consolidation,080xx,NJ,14.03,0,Nov-81,0,NA,12,0,23151,27.40%,26,0
10000,10000,9975, 60 months,15.96%,242.97,C,C5,2 years,RENT,29120,Verified,Dec-11,Current,debt_consolidation,330xx,FL,22.83,0,Feb-97,1,68,11,0,16158,63.60%,31,0
5000,5000,5000, 36 months,8.90%,158.77,A,A5,2 years,RENT,24044,Verified,Dec-11,Fully Paid,debt_consolidation,974xx,OR,11.93,0,Apr-05,0,45,8,0,2224,29.30%,16,0
7000,7000,7000, 36 months,15.96%,245.97,C,C5,7 years,RENT,34000,Source Verified,Dec-11,Fully Paid,credit_card,934xx,CA,6.35,0,Oct-07,1,NA,6,0,6113,60.50%,6,0
12400,12400,12400, 36 months,10.65%,403.91,B,B2,10+ years,RENT,41000,Not Verified,Dec-11,Fully Paid,credit_card,405xx,KY,11.8,0,Jul-05,2,NA,9,0,11095,57.20%,12,0
10800,10800,10800, 36 months,9.91%,348.03,B,B1,2 years,RENT,55596,Source Verified,Dec-11,Fully Paid,moving,946xx,CA,5.5,0,Dec-00,0,NA,7,0,2535,13.30%,18,0
15000,15000,15000, 36 months,7.90%,469.36,A,A4,1 year,RENT,45000,Verified,Dec-11,Fully Paid,debt_consolidation,445xx,OH,8.48,0,Nov-04,0,NA,7,0,6704,50.40%,27,0
6000,6000,6000, 36 months,12.42%,200.5,B,B4,1 year,RENT,36852,Source Verified,Dec-11,Fully Paid,debt_consolidation,850xx,AZ,10.62,0,Apr-07,1,NA,7,0,7310,66.50%,12,0
12500,12500,12475, 60 months,12.69%,282.44,B,B5,1 year,RENT,27000,Verified,Dec-11,Current,debt_consolidation,604xx,IL,16.04,0,Dec-01,3,NA,6,0,10143,50%,24,0
9600,9600,9600, 36 months,7.51%,298.67,A,A3,4 years,RENT,68004,Source Verified,Dec-11,Fully Paid,other,292xx,SC,6.63,0,Jan-03,0,NA,6,0,2896,18.10%,11,0
12000,12000,12000, 36 months,7.90%,375.49,A,A4,10+ years,RENT,62300,Not Verified,Dec-11,Fully Paid,debt_consolidation,088xx,NJ,16.7,0,Mar-94,0,38,15,0,8601,21%,25,0
3000,3000,3000, 36 months,18.25%,108.84,D,D5,9 years,MORTGAGE,65000,Not Verified,Dec-11,Fully Paid,other,180xx,PA,17.39,0,Sep-98,0,NA,8,0,43936,98.10%,22,0
4400,4400,4400, 36 months,16.77%,156.37,D,D2,10+ years,RENT,55000,Not Verified,Dec-11,Fully Paid,debt_consolidation,029xx,RI,20.01,0,Jun-04,0,NA,7,0,25237,99%,11,0
6000,6000,6000, 36 months,6.03%,182.62,A,A1,10+ years,MORTGAGE,45600,Not Verified,Dec-11,Fully Paid,debt_consolidation,700xx,LA,5.34,0,Nov-95,1,NA,6,0,3378,32.50%,28,0
14000,14000,14000, 36 months,9.91%,451.15,B,B1,6 years,RENT,80000,Not Verified,Dec-11,Fully Paid,small_business,010xx,MA,10,0,Jul-99,1,45,7,0,2219,13.40%,40,0
5000,5000,5000, 36 months,8.90%,158.77,A,A5,10+ years,MORTGAGE,1e+05,Source Verified,Dec-11,Charged Off,debt_consolidation,441xx,OH,16.33,0,Jun-95,0,NA,17,0,74351,62.10%,35,0
10000,10000,10000, 36 months,10.65%,325.74,B,B2,6 years,RENT,27000,Verified,Dec-11,Fully Paid,other,104xx,NY,11.47,0,Nov-06,0,NA,7,0,7814,52.30%,10,0
10000,10000,10000, 36 months,6.03%,304.36,A,A1,10+ years,RENT,60000,Not Verified,Dec-11,Fully Paid,credit_card,067xx,CT,12.74,0,Sep-92,1,NA,11,0,14019,19.50%,18,0
11000,11000,11000, 36 months,6.62%,337.75,A,A2,5 years,RENT,70000,Not Verified,Dec-11,Fully Paid,debt_consolidation,061xx,CT,10.85,0,Jan-02,0,NA,5,0,11638,36.40%,7,0
15000,15000,15000, 36 months,9.91%,483.38,B,B1,8 years,MORTGAGE,80000,Not Verified,Dec-11,Charged Off,debt_consolidation,616xx,IL,9.12,0,Apr-92,2,NA,9,0,11845,63.70%,28,0
25600,25600,25350, 36 months,9.91%,824.96,B,B1,9 years,RENT,110000,Verified,Dec-11,Fully Paid,credit_card,913xx,CA,15.71,0,Jul-99,0,NA,11,0,26088,62%,27,0
7000,7000,7000, 36 months,10.65%,228.02,B,B2,< 1 year,RENT,40000,Not Verified,Dec-11,Fully Paid,debt_consolidation,947xx,CA,7.38,0,Apr-04,0,NA,7,0,12168,92.90%,12,0
12000,12000,12000, 36 months,15.96%,421.65,C,C5,4 years,RENT,50000,Not Verified,Dec-11,Charged Off,car,914xx,CA,20.88,0,Oct-06,2,NA,11,0,15793,90.80%,11,0
12000,12000,12000, 36 months,9.91%,386.7,B,B1,1 year,RENT,46000,Not Verified,Dec-11,Fully Paid,credit_card,765xx,TX,8.11,0,May-00,1,NA,11,0,12143,52.10%,12,0
21000,21000,20975, 60 months,19.91%,555.33,E,E4,7 years,RENT,50000,Verified,Dec-11,Charged Off,debt_consolidation,980xx,WA,21.58,0,Sep-98,1,NA,7,0,19448,97.60%,14,0
16000,16000,15950, 60 months,19.91%,423.11,E,E4,7 years,RENT,81000,Verified,Dec-11,Fully Paid,credit_card,017xx,MA,20.52,0,Dec-98,3,NA,12,0,27884,75.10%,21,0
10000,10000,10000, 36 months,12.42%,334.16,B,B4,< 1 year,OWN,39000,Not Verified,Dec-11,Fully Paid,debt_consolidation,972xx,OR,18.58,0,Dec-04,0,NA,5,0,12874,72.70%,10,0
10000,10000,10000, 36 months,10.65%,325.74,B,B2,2 years,RENT,51400,Not Verified,Dec-11,Fully Paid,credit_card,752xx,TX,19.14,0,Oct-00,3,NA,10,0,10160,59.10%,24,0
7100,7100,7100, 36 months,16.77%,252.33,D,D2,1 year,MORTGAGE,33000,Verified,Dec-11,Fully Paid,debt_consolidation,787xx,TX,24,0,Apr-07,2,NA,4,0,6021,91.20%,8,0
13000,13000,13000, 60 months,12.69%,293.74,B,B5,< 1 year,MORTGAGE,30000,Source Verified,Dec-11,Fully Paid,debt_consolidation,077xx,NJ,13.72,0,May-02,0,NA,17,0,17080,58.90%,27,0
17500,8950,8925, 60 months,17.27%,223.74,D,D3,6 years,RENT,40000,Verified,Dec-11,Fully Paid,small_business,951xx,CA,19.47,0,May-06,1,NA,5,0,10724,58.90%,6,0
17675,17675,17675, 60 months,14.65%,417.25,C,C3,< 1 year,RENT,50000,Source Verified,Dec-11,Fully Paid,debt_consolidation,540xx,WI,16.46,0,Jul-02,2,NA,6,0,6661,57.40%,14,0
8000,8000,8000, 36 months,16.77%,284.31,D,D2,< 1 year,RENT,62000,Not Verified,Dec-11,Fully Paid,debt_consolidation,225xx,VA,21.64,0,Jul-06,3,NA,14,0,6088,66.90%,20,0
10000,10000,9975, 60 months,10.65%,215.69,B,B2,10+ years,RENT,45996,Verified,Dec-11,Charged Off,debt_consolidation,440xx,OH,21.73,0,May-97,1,NA,7,0,11170,30.10%,15,0
3500,3500,3500, 36 months,10.65%,114.01,B,B2,7 years,MORTGAGE,55000,Not Verified,Dec-11,Fully Paid,debt_consolidation,437xx,OH,5.39,0,Oct-05,1,NA,9,0,6611,45.90%,12,0
12500,8925,8925, 60 months,17.27%,223.11,D,D3,5 years,RENT,30000,Source Verified,Dec-11,Charged Off,debt_consolidation,559xx,MN,13.16,0,Apr-95,0,NA,7,1,9844,70.80%,28,1
16425,16425,16425, 36 months,14.27%,563.53,C,C2,4 years,RENT,44544,Source Verified,Dec-11,Fully Paid,debt_consolidation,921xx,CA,22.71,0,Oct-02,1,NA,10,0,15747,83.40%,18,0
8200,8200,8200, 60 months,21.28%,223.14,F,F2,4 years,RENT,75000,Source Verified,Dec-11,Charged Off,small_business,912xx,CA,12.48,0,Jan-00,3,NA,6,0,9012,73.90%,11,0
15000,15000,15000, 36 months,14.65%,517.42,C,C3,2 years,OWN,61000,Verified,Dec-11,Fully Paid,credit_card,325xx,FL,11.88,0,Jun-04,1,NA,8,0,19397,79.50%,18,0
20975,13575,13550, 60 months,17.58%,341.63,D,D4,5 years,MORTGAGE,44000,Verified,Dec-11,Fully Paid,credit_card,300xx,GA,18.79,0,Apr-00,0,NA,13,1,20657,79.40%,21,1
6400,6400,6400, 36 months,16.77%,227.45,D,D2,5 years,RENT,75000,Not Verified,Dec-11,Charged Off,debt_consolidation,923xx,CA,20.22,0,Dec-94,0,48,9,0,7159,67.50%,27,0
3000,3000,3000, 36 months,13.49%,101.8,C,C1,1 year,RENT,33600,Not Verified,Dec-11,Fully Paid,debt_consolidation,352xx,AL,18.11,0,Oct-05,0,41,4,0,2745,83.20%,7,0
12000,12000,12000, 36 months,16.77%,426.47,D,D2,3 years,RENT,50000,Not Verified,Dec-11,Fully Paid,credit_card,013xx,MA,20.57,0,Sep-05,1,NA,13,0,11443,97%,19,0
14400,14400,14400, 36 months,8.90%,457.25,A,A5,< 1 year,OWN,150000,Source Verified,Dec-11,Fully Paid,debt_consolidation,146xx,NY,14.85,0,Dec-94,0,NA,12,0,63864,55%,38,0
12000,12000,12000, 36 months,14.65%,413.94,C,C3,10+ years,RENT,90000,Not Verified,Dec-11,Fully Paid,debt_consolidation,074xx,NJ,16.56,0,Dec-84,2,40,12,0,17116,78.50%,36,0
11000,11000,11000, 36 months,13.49%,373.24,C,C1,10+ years,MORTGAGE,48000,Verified,Dec-11,Fully Paid,debt_consolidation,786xx,TX,21.82,0,Dec-99,3,74,15,0,11382,65%,29,0
7250,7200,7175, 60 months,21.67%,197.51,F,F3,< 1 year,RENT,75000,Verified,Dec-11,Fully Paid,debt_consolidation,937xx,CA,24.82,0,May-00,2,NA,9,1,21706,91.20%,19,1
15000,15000,15000, 36 months,7.90%,469.36,A,A4,1 year,MORTGAGE,52000,Not Verified,Dec-11,Fully Paid,small_business,799xx,TX,9.65,0,Nov-03,1,NA,11,0,1616,6.70%,29,0
18000,18000,18000, 60 months,19.91%,475.99,E,E4,10+ years,MORTGAGE,65000,Not Verified,Dec-11,Fully Paid,debt_consolidation,331xx,FL,6.81,0,Jun-89,0,25,10,0,11745,77.80%,40,0
35000,22075,22050, 60 months,17.27%,551.84,D,D3,3 years,MORTGAGE,150000,Verified,Dec-11,Fully Paid,home_improvement,115xx,NY,7.51,0,Jun-03,1,35,11,0,7334,53.30%,31,0
10000,10000,10000, 36 months,14.27%,343.09,C,C2,2 years,RENT,68000,Source Verified,Dec-11,Fully Paid,credit_card,191xx,PA,15.39,0,Jul-06,1,NA,9,0,11303,81.30%,15,0
11800,11800,11800, 36 months,12.69%,395.83,B,B5,6 years,RENT,42000,Source Verified,Dec-11,Fully Paid,credit_card,114xx,NY,9.86,0,Oct-96,0,NA,4,0,8940,74.80%,13,0
4500,4500,4500, 36 months,6.03%,136.96,A,A1,4 years,RENT,53000,Source Verified,Dec-11,Fully Paid,major_purchase,908xx,CA,4.44,0,Oct-00,0,NA,7,0,8630,13.90%,17,0
7000,7000,7000, 36 months,12.69%,234.82,B,B5,10+ years,RENT,35000,Source Verified,Dec-11,Fully Paid,credit_card,902xx,CA,11.35,0,May-00,2,53,10,0,7649,82.30%,26,0
9200,9200,9200, 36 months,12.42%,307.43,B,B4,2 years,RENT,60000,Source Verified,Dec-11,Fully Paid,debt_consolidation,902xx,CA,19.96,0,Oct-02,3,NA,8,0,23299,78.70%,19,0
14000,14000,13975, 60 months,17.27%,349.98,D,D3,4 years,RENT,28000,Verified,Dec-11,Current,other,992xx,WA,6.34,0,Jul-05,2,NA,5,0,6986,79.40%,10,0
4500,4500,4475, 60 months,10.65%,97.06,B,B2,< 1 year,MORTGAGE,42000,Source Verified,Dec-11,Fully Paid,car,750xx,TX,5.4,0,Feb-83,0,NA,4,0,8220,78.30%,9,0
12000,12000,12000, 36 months,16.29%,423.61,D,D1,9 years,RENT,88365,Verified,Dec-11,Fully Paid,debt_consolidation,852xx,AZ,16.85,0,Oct-96,0,NA,6,0,22936,96.40%,15,0
12000,12000,12000, 36 months,13.49%,407.17,C,C1,4 years,RENT,72000,Source Verified,Dec-11,Fully Paid,debt_consolidation,937xx,CA,21.33,0,May-03,1,NA,11,0,3419,27.60%,19,0
12000,12000,12000, 36 months,10.65%,390.88,B,B2,< 1 year,RENT,62000,Verified,Dec-11,Fully Paid,credit_card,750xx,TX,23.94,0,Jun-02,0,NA,10,0,20310,78.40%,51,0
7000,7000,7000, 36 months,10.65%,228.02,B,B2,3 years,MORTGAGE,43680,Not Verified,Dec-11,Fully Paid,credit_card,559xx,MN,5.38,0,Oct-00,0,39,7,0,6245,78.10%,11,0
8200,8200,8200, 60 months,19.42%,214.62,E,E3,3 years,RENT,120000,Source Verified,Dec-11,Fully Paid,debt_consolidation,104xx,NY,2.8,0,Jun-07,2,NA,5,0,10392,88.40%,6,0
10500,10500,10500, 36 months,12.69%,352.23,B,B5,10+ years,RENT,66000,Verified,Dec-11,Fully Paid,medical,950xx,CA,20.73,1,Sep-98,2,10,8,0,5790,51.20%,26,0
7000,7000,7000, 36 months,11.71%,231.54,B,B3,4 years,OWN,39120,Not Verified,Dec-11,Fully Paid,debt_consolidation,329xx,FL,21.01,0,Dec-96,0,26,8,1,9414,52.40%,26,0
15300,15300,15275, 60 months,22.06%,423.1,F,F4,6 years,RENT,85000,Verified,Dec-11,Current,credit_card,226xx,VA,20.58,0,Feb-84,2,56,14,0,26524,89.70%,27,0
20000,12800,12775, 60 months,11.71%,282.86,B,B3,4 years,MORTGAGE,47800,Verified,Dec-11,Fully Paid,debt_consolidation,226xx,VA,10.04,0,Nov-01,0,NA,15,0,16447,46.30%,27,0
17500,17500,17500, 60 months,17.27%,437.47,D,D3,7 years,MORTGAGE,45000,Not Verified,Dec-11,Charged Off,credit_card,992xx,WA,21.31,0,Sep-02,2,NA,13,0,20129,86.10%,26,0
3500,3500,3500, 36 months,6.03%,106.53,A,A1,10+ years,MORTGAGE,83000,Verified,Dec-11,Fully Paid,car,614xx,IL,2.31,0,Jan-86,0,35,6,0,3092,13.40%,28,0
6000,6000,6000, 60 months,12.69%,135.57,B,B5,< 1 year,RENT,81000,Source Verified,Dec-11,Current,major_purchase,802xx,CO,13.66,1,Nov-04,0,20,6,0,15102,50%,17,0
6200,6200,6200, 36 months,9.91%,199.8,B,B1,2 years,RENT,25000,Not Verified,Dec-11,Charged Off,debt_consolidation,902xx,CA,20.64,0,May-98,2,NA,7,0,6533,47.70%,12,0
16000,16000,16000, 60 months,17.58%,402.65,D,D4,7 years,RENT,65000,Not Verified,Dec-11,Current,debt_consolidation,672xx,KS,15.56,0,Oct-96,0,NA,8,0,21166,87.10%,16,0
6000,6000,6000, 36 months,8.90%,190.52,A,A5,8 years,OWN,28800,Not Verified,Dec-11,Fully Paid,debt_consolidation,083xx,NJ,13.17,0,Jul-05,0,NA,11,0,5269,36.80%,13,0
7200,7200,7200, 36 months,9.91%,232.02,B,B1,6 years,RENT,135000,Not Verified,Dec-11,Fully Paid,credit_card,100xx,NY,6.12,0,Jan-97,0,NA,7,0,16627,79.60%,18,0
9500,9500,9500, 36 months,8.90%,301.66,A,A5,7 years,MORTGAGE,50000,Not Verified,Dec-11,Fully Paid,credit_card,770xx,TX,8.18,0,Jun-05,0,NA,8,0,13422,60.50%,13,0
18825,18825,18800, 60 months,16.77%,465.53,D,D2,10+ years,RENT,38000,Verified,Dec-11,Charged Off,debt_consolidation,787xx,TX,23.18,0,Dec-04,0,NA,6,0,11004,79.70%,7,0
24000,24000,24000, 36 months,10.65%,781.76,B,B2,10+ years,RENT,45000,Verified,Dec-11,Fully Paid,debt_consolidation,926xx,CA,14.8,0,Feb-90,0,NA,5,0,24708,55.20%,9,0
6000,6000,6000, 36 months,13.49%,203.59,C,C1,10+ years,RENT,80000,Not Verified,Dec-11,Fully Paid,debt_consolidation,931xx,CA,11.58,0,Feb-02,0,NA,8,0,15499,83.80%,16,0
6000,6000,6000, 36 months,13.49%,203.59,C,C1,5 years,RENT,50000,Not Verified,Dec-11,Fully Paid,debt_consolidation,860xx,AZ,15.38,0,Mar-04,1,NA,6,0,15191,91.50%,7,0
2100,2100,2100, 36 months,12.42%,70.18,B,B4,10+ years,MORTGAGE,30000,Not Verified,Dec-11,Fully Paid,vacation,712xx,LA,19.72,0,Jul-95,1,NA,12,0,12183,82.90%,26,0
5500,5500,5500, 36 months,6.62%,168.88,A,A2,8 years,MORTGAGE,110000,Verified,Dec-11,Fully Paid,small_business,060xx,CT,9.69,0,Aug-94,0,NA,7,0,14136,21.90%,26,0
11000,11000,11000, 36 months,6.62%,337.75,A,A2,8 years,OWN,45608,Source Verified,Dec-11,Fully Paid,debt_consolidation,707xx,LA,20.5,0,Jun-92,0,NA,7,0,10677,58.70%,11,0
26800,26800,26800, 60 months,20.89%,723.38,F,F1,3 years,MORTGAGE,120000,Verified,Dec-11,Fully Paid,debt_consolidation,342xx,FL,12.15,0,May-06,0,NA,13,0,14772,48%,18,0
8000,8000,8000, 36 months,12.69%,268.36,B,B5,5 years,MORTGAGE,35000,Not Verified,Dec-11,Fully Paid,debt_consolidation,604xx,IL,10.05,0,Oct-02,0,NA,7,0,6842,97.70%,18,0
10000,10000,10000, 36 months,18.25%,362.78,D,D5,1 year,RENT,75000,Source Verified,Dec-11,Charged Off,credit_card,900xx,CA,24.14,0,Mar-97,0,77,9,0,22828,96.30%,26,0
8000,8000,8000, 36 months,11.71%,264.61,B,B3,9 years,MORTGAGE,35000,Verified,Dec-11,Fully Paid,credit_card,895xx,NV,9.7,0,Apr-06,0,NA,7,0,6142,46.50%,8,0
10000,10000,10000, 36 months,8.90%,317.54,A,A5,6 years,RENT,24000,Verified,Dec-11,Fully Paid,debt_consolidation,900xx,CA,7,0,Jan-00,0,28,6,0,6734,49.50%,21,0
12000,12000,12000, 36 months,11.71%,396.92,B,B3,2 years,MORTGAGE,126000,Not Verified,Dec-11,Fully Paid,debt_consolidation,430xx,OH,13.32,0,Apr-90,0,74,17,0,32711,54.10%,38,0
10000,10000,10000, 36 months,7.90%,312.91,A,A4,1 year,RENT,43000,Not Verified,Dec-11,Fully Paid,debt_consolidation,919xx,CA,25.26,0,Jun-03,0,NA,8,0,8215,37.20%,16,0
12000,12000,12000, 36 months,9.91%,386.7,B,B1,1 year,RENT,50000,Not Verified,Dec-11,Fully Paid,debt_consolidation,926xx,CA,16.44,0,Jan-00,1,NA,11,0,14335,29.30%,25,0
25000,25000,23088.16106, 60 months,13.49%,575.12,C,C1,10+ years,MORTGAGE,67000,Verified,Dec-11,Charged Off,credit_card,996xx,AK,14.15,0,Aug-99,0,28,6,0,15319,91.20%,21,0
19750,19750,19725, 36 months,10.65%,643.33,B,B2,4 years,RENT,45000,Verified,Dec-11,Charged Off,debt_consolidation,974xx,OR,22.8,0,Sep-00,0,56,12,0,16576,54.20%,28,0
10000,10000,10000, 36 months,9.91%,322.25,B,B1,3 years,RENT,31200,Source Verified,Dec-11,Fully Paid,debt_consolidation,104xx,NY,14.81,0,Oct-05,0,NA,13,0,5540,27%,19,0
13650,13650,13650, 36 months,12.42%,456.12,B,B4,4 years,RENT,66000,Verified,Dec-11,Fully Paid,debt_consolidation,891xx,NV,24.09,0,Feb-01,0,74,11,0,8933,56.50%,34,0
28000,11800,11775, 60 months,19.91%,312.04,E,E4,10+ years,RENT,52000,Verified,Dec-11,Charged Off,debt_consolidation,752xx,TX,20.7,0,Dec-88,0,NA,10,0,29178,87.60%,16,0
18000,18000,18000, 36 months,7.90%,563.23,A,A4,10+ years,RENT,56964,Source Verified,Dec-11,Fully Paid,debt_consolidation,935xx,CA,27.55,0,Feb-99,0,NA,7,0,17381,76.60%,20,0
2500,2500,2500, 36 months,14.27%,85.78,C,C2,7 years,RENT,49500,Source Verified,Dec-11,Fully Paid,debt_consolidation,325xx,FL,10.33,0,Nov-04,1,52,7,0,9868,37.70%,20,0
21000,21000,20120.80657, 60 months,20.30%,559.89,E,E5,10+ years,RENT,70000,Verified,Dec-11,Fully Paid,credit_card,801xx,CO,23.21,0,Dec-91,2,NA,17,0,12508,70.70%,25,0
35000,35000,35000, 36 months,8.90%,1111.37,A,A5,6 years,MORTGAGE,125000,Verified,Dec-11,Fully Paid,debt_consolidation,928xx,CA,22.71,0,Aug-00,0,NA,8,0,9051,34.80%,32,0
10000,10000,10000, 36 months,7.51%,311.11,A,A3,3 years,RENT,33000,Not Verified,Dec-11,Fully Paid,credit_card,080xx,NJ,9.75,0,Oct-04,1,NA,9,0,68,0.60%,19,0
7000,7000,7000, 36 months,12.69%,234.82,B,B5,< 1 year,RENT,30000,Source Verified,Dec-11,Fully Paid,credit_card,233xx,VA,15.8,0,Aug-04,2,NA,7,0,15455,47.60%,11,0
